Day,Hour,Price
1,0:00,0.05
1,1:00,0.03
1,2:00,0.06
1,3:00,0.05
1,4:00,0.03
1,5:00,0.05
1,6:00,0.2
1,7:00,0.21
1,8:00,0.2
1,9:00,0.19
1,10:00,0.12
1,11:00,0.12
1,12:00,0.12
1,13:00,0.14
1,14:00,0.13
1,15:00,0.12
1,16:00,0.12
1,17:00,0.18
1,18:00,0.22
1,19:00,0.22
1,20:00,0.22
1,21:00,0.22
1,22:00,0.22
1,23:00,0.22
2,0:00,0.03
2,1:00,0.03
2,2:00,0.03
2,3:00,0.03
2,4:00,0.03
2,5:00,0.03
2,6:00,0.1
2,7:00,0.1
2,8:00,0.09
2,9:00,0.09
2,10:00,0.09
2,11:00,0.12
2,12:00,0.02
2,13:00,0.02
2,14:00,0.02
2,15:00,0.02
2,16:00,0.02
2,17:00,0.18
2,18:00,0.18
2,19:00,0.2
2,20:00,0.2
2,21:00,0.2
2,22:00,0.2
2,23:00,0.2
3,0:00,0.04
3,1:00,0.04
3,2:00,0.03
3,3:00,0.03
3,4:00,0.02
3,5:00,0.03
3,6:00,0.01
3,7:00,0.01
3,8:00,0.09
3,9:00,0.1
3,10:00,0.11
3,11:00,0.12
3,12:00,0.01
3,13:00,0.03
3,14:00,0.03
3,15:00,0.03
3,16:00,0.03
3,17:00,0.15
3,18:00,0.15
3,19:00,0.14
3,20:00,0.13
3,21:00,0.12
3,22:00,0.12
3,23:00,0.11
4,0:00,0.05
4,1:00,0.04
4,2:00,0.03
4,3:00,0.02
4,4:00,0.02
4,5:00,0.02
4,6:00,0.01
4,7:00,0.02
4,8:00,0.11
4,9:00,0.1
4,10:00,0.13
4,11:00,0.14
4,12:00,0.01
4,13:00,0.03
4,14:00,0.02
4,15:00,0.01
4,16:00,0.01
4,17:00,0.2
4,18:00,0.2
4,19:00,0.14
4,20:00,0.2
4,21:00,0.21
4,22:00,0.22
4,23:00,0.19
5,0:00,0.06
5,1:00,0.06
5,2:00,0.05
5,3:00,0.05
5,4:00,0.03
5,5:00,0.02
5,6:00,0.01
5,7:00,0
5,8:00,0.11
5,9:00,0.15
5,10:00,0.2
5,11:00,0.19
5,12:00,0.01
5,13:00,0.05
5,14:00,0.04
5,15:00,0.03
5,16:00,0.01
5,17:00,0.01
5,18:00,0.2
5,19:00,0.16
5,20:00,0.22
5,21:00,0.21
5,22:00,0.24
5,23:00,0.21
6,0:00,0.01
6,1:00,0.01
6,2:00,0.04
6,3:00,0.05
6,4:00,0.03
6,5:00,0.03
6,6:00,0.01
6,7:00,0.01
6,8:00,0.13
6,9:00,0.13
6,10:00,0.17
6,11:00,0.17
6,12:00,0.03
6,13:00,0.02
6,14:00,0.04
6,15:00,0.03
6,16:00,0.02
6,17:00,0.16
6,18:00,0.17
6,19:00,0.18
6,20:00,0.19
6,21:00,0.21
6,22:00,0.24
6,23:00,0.19
7,0:00,0.03
7,1:00,0.04
7,2:00,0.05
7,3:00,0.05
7,4:00,0.02
7,5:00,0.02
7,6:00,0.02
7,7:00,0.01
7,8:00,0.19
7,9:00,0.14
7,10:00,0.2
7,11:00,0.18
7,12:00,0.03
7,13:00,0.03
7,14:00,0.02
7,15:00,0.03
7,16:00,0.03
7,17:00,0.15
7,18:00,0.2
7,19:00,0.16
7,20:00,0.19
7,21:00,0.12
7,22:00,0.22
7,23:00,0.21